x	y	z	Signaling by NODAL
221	257	32	1
232	257	32	2
182	258	32	1
190	258	32	1
213	258	32	1
214	258	32	1
216	258	32	1
217	258	32	1
219	258	32	1
228	258	32	1
230	258	32	1
232	258	32	1
233	258	32	1
239	258	32	1
241	258	32	1
246	258	32	1
231	259	32	1
234	259	32	1
237	259	32	1
243	259	32	1
245	259	32	1
182	260	32	3
211	260	32	1
237	260	32	2
239	260	32	1
240	260	32	2
219	261	32	1
229	261	32	1
230	261	32	1
239	261	32	1
242	261	32	1
244	261	32	1
186	262	32	1
197	262	32	1
198	262	32	1
207	262	32	5
215.5	262.5	32.5	2
224	262	32	1
235	262	32	1
240	262	32	1
246	262	32	1
247	262	32	1
189	263	32	1
204	263	32	2
212	263	32	1
215	263	32	1
220	263	32	1
221	263	32	1
